"id","mem","mem_free","processors","instance_uptime","uptime","systemload_average","heap_committed","heap_init","heap_used","heap","nonheap_committed","nonheap_init","nonheap_used","nonheap","threads_peak","threads_total_started","threads","classes","classes_loaded","classes_unloaded","gc_ps_scavenge_count","gc_ps_scavenge_time","gc_ps_marksweep_count","gc_ps_marksweep_time","httpsessions_max","httpsessions_active","gauge_response_test","counter_status200test","counter_status500test","updated_time"
90,"455000","41005","4","3283158","3291686",-1.0,"397824","65536","356818","913920","60264","2496","57176","0","34","39","34","6267","6267","0","926","5771","2","401",-1,"0","23.0","2163418",,2019-03-27 02:22:56
91,"454989","239581","4","3313314","3321841",-1.0,"397824","65536","158242","913920","60264","2496","57165","0","34","39","34","6267","6267","0","933","5806","2","401",-1,"0","26.0","2189456",,2019-03-27 02:23:26
92,"454989","117180","4","3343431","3351959",-1.0,"397824","65536","280643","913920","60264","2496","57165","0","34","39","34","6267","6267","0","939","5885","2","401",-1,"0","6.0","2215307",,2019-03-27 02:23:56
93,"453965","319872","4","3373548","3382076",-1.0,"396800","65536","76927","913920","60264","2496","57165","0","34","39","34","6267","6267","0","946","5971","2","401",-1,"0","21.0","2241290",,2019-03-27 02:24:26
94,"454477","219415","4","3403679","3412206",-1.0,"397312","65536","177896","913920","60264","2496","57165","0","34","39","34","6267","6267","0","952","6000","2","401",-1,"0","30.0","2266912",,2019-03-27 02:24:57
95,"454989","83423","4","3433905","3442433",-1.0,"397824","65536","314400","913920","60264","2496","57165","0","34","39","34","6267","6267","0","958","6034","2","401",-1,"0","23.0","2292921",,2019-03-27 02:25:27
96,"455491","296571","4","3464036","3472564",-1.0,"398336","65536","101764","913920","60264","2496","57155","0","34","39","34","6267","6267","0","965","6076","2","401",-1,"0","25.0","2318816",,2019-03-27 02:25:57
97,"455494","155293","4","3494264","3502793",-1.0,"398336","65536","243042","913920","60264","2496","57158","0","34","39","34","6267","6267","0","971","6110","2","401",-1,"0","26.0","2344923",,2019-03-27 02:26:27
98,"454470","352914","4","3524457","3532985",-1.0,"397312","65536","44397","913920","60264","2496","57158","0","34","39","34","6267","6267","0","978","6157","2","401",-1,"0","27.0","2371020",,2019-03-27 02:26:57
99,"454995","228185","4","3554645","3563173",-1.0,"397824","65536","169638","913920","60264","2496","57171","0","34","39","34","6267","6267","0","984","6189","2","401",-1,"0","27.0","2396907",,2019-03-27 02:27:28
100,"454995","89025","4","3584794","3593322",-1.0,"397824","65536","308798","913920","60264","2496","57171","0","34","39","34","6267","6267","0","990","6273","2","401",-1,"0","35.0","2422947",,2019-03-27 02:27:58
101,"454940","284045","4","3614942","3623470",-1.0,"397824","65536","113778","913920","60264","2496","57116","0","34","39","34","6267","6267","0","997","6304","2","401",-1,"0","12.0","2449059",,2019-03-27 02:28:28
102,"455452","139024","4","3645190","3653717",-1.0,"398336","65536","259311","913920","60264","2496","57116","0","34","39","34","6267","6267","0","1003","6332","2","401",-1,"0","25.0","2475243",,2019-03-27 02:28:58
103,"455451","348528","4","3675368","3683896",-1.0,"398336","65536","49807","913920","60264","2496","57115","0","34","39","34","6267","6267","0","1010","6367","2","401",-1,"0","23.0","2501224",,2019-03-27 02:29:28
104,"455451","196220","4","3705489","3714016",-1.0,"398336","65536","202115","913920","60264","2496","57115","0","34","39","34","6267","6267","0","1016","6396","2","401",-1,"0","20.0","2527520",,2019-03-27 02:29:58
105,"455451","64825","4","3735644","3744172",-1.0,"398336","65536","333510","913920","60264","2496","57115","0","34","39","34","6267","6267","0","1022","6468","2","401",-1,"0","31.0","2553558",,2019-03-27 02:30:29
106,"454427","289880","4","3765758","3774286",-1.0,"397312","65536","107431","913920","60264","2496","57115","0","34","39","34","6267","6267","0","1029","6506","2","401",-1,"0","25.0","2579344",,2019-03-27 02:30:59
107,"454939","155185","4","3795932","3804460",-1.0,"397824","65536","242638","913920","60264","2496","57115","0","34","39","34","6267","6267","0","1035","6534","2","401",-1,"0","16.0","2605391",,2019-03-27 02:31:29
108,"454939","362960","4","3826058","3834586",-1.0,"397824","65536","34863","913920","60264","2496","57115","0","34","39","34","6267","6267","0","1042","6576","2","401",-1,"0","27.0","2631325",,2019-03-27 02:31:59
109,"455423","222773","4","3856212","3864740",-1.0,"398336","65536","175562","913920","60264","2496","57087","0","34","39","34","6267","6267","0","1048","6605","2","401",-1,"0","23.0","2657424",,2019-03-27 02:32:29
110,"454888","120135","4","3886394","3894922",-1.0,"397824","65536","277688","913920","60264","2496","57064","0","34","39","34","6267","6267","0","1054","6658","2","401",-1,"0","26.0","2683040",,2019-03-27 02:32:59
111,"454860","199091","4","3916617","3925145",-1.0,"397824","65536","198732","913920","60264","2496","57036","0","34","39","34","6267","6267","0","1060","6748","2","401",-1,"0","40.0","2706475",,2019-03-27 02:33:30
112,"454880","91314","4","3946788","3955316",-1.0,"397824","65536","306509","913920","60264","2496","57056","0","34","39","34","6267","6267","0","1066","6776","2","401",-1,"0","8.0","2732126",,2019-03-27 02:34:00
113,"455434","346246","4","3976991","3985519",-1.0,"398336","65536","52089","913920","60264","2496","57098","0","34","39","34","6267","6267","0","1073","6841","2","401",-1,"0","18.0","2757524",,2019-03-27 02:34:30
114,"454922","229959","4","4007317","4015845",-1.0,"397824","65536","167864","913920","60264","2496","57098","0","34","39","34","6267","6267","0","1079","6918","2","401",-1,"0","33.0","2783351",,2019-03-27 02:35:00
115,"454922","134056","4","4037495","4046022",-1.0,"397824","65536","263767","913920","60264","2496","57098","0","34","39","34","6267","6267","0","1085","6949","2","401",-1,"0","27.0","2808880",,2019-03-27 02:35:30
116,"454733","52661","4","4067738","4076266",-1.0,"397824","65536","345162","913920","60264","2496","56909","0","34","39","34","6267","6267","0","1091","7023","2","401",-1,"0","18.0","2834232",,2019-03-27 02:36:01
117,"455249","269364","4","4097894","4106421",-1.0,"398336","65536","128971","913920","60264","2496","56913","0","34","39","34","6267","6267","0","1098","7107","2","401",-1,"0","26.0","2860030",,2019-03-27 02:36:31
118,"455252","188675","4","4128105","4136633",-1.0,"398336","65536","209660","913920","60264","2496","56916","0","34","39","34","6267","6267","0","1104","7134","2","401",-1,"0","23.0","2885451",,2019-03-27 02:37:01
119,"455252","76048","4","4158251","4166780",-1.0,"398336","65536","322287","913920","60264","2496","56916","0","34","39","34","6267","6267","0","1110","7166","2","401",-1,"0","22.0","2911266",,2019-03-27 02:37:31
120,"455252","301199","4","4188445","4196973",-1.0,"398336","65536","97136","913920","60264","2496","56916","0","34","39","34","6267","6267","0","1117","7197","2","401",-1,"0","32.0","2937067",,2019-03-27 02:38:01
121,"454740","206297","4","4218651","4227179",-1.0,"397824","65536","191526","913920","60264","2496","56916","0","34","39","34","6267","6267","0","1123","7246","2","401",-1,"0","16.0","2962648",,2019-03-27 02:38:32
122,"454741","108881","4","4248821","4257349",-1.0,"397824","65536","288942","913920","60264","2496","56917","0","34","39","34","6267","6267","0","1129","7279","2","401",-1,"0","46.0","2988215",,2019-03-27 02:39:02
123,"454749","348978","4","4279101","4287629",-1.0,"397824","65536","48845","913920","60264","2496","56925","0","34","39","34","6267","6267","0","1136","7324","2","401",-1,"0","21.0","3013775",,2019-03-27 02:39:32
124,"454749","257698","4","4309333","4317861",-1.0,"397824","65536","140125","913920","60264","2496","56925","0","34","39","34","6267","6267","0","1142","7369","2","401",-1,"0","23.0","3039265",,2019-03-27 02:40:02
125,"455261","166365","4","4339576","4348104",-1.0,"398336","65536","231970","913920","60264","2496","56925","0","34","39","34","6267","6267","0","1148","7399","2","401",-1,"0","20.0","3064767",,2019-03-27 02:40:33
126,"440413","74192","4","4369721","4378249",-1.0,"383488","65536","309295","913920","60264","2496","56925","0","34","39","34","6267","6267","0","1154","7430","2","401",-1,"0","16.0","3090165",,2019-03-27 02:41:03
127,"455261","263229","4","4399861","4408389",-1.0,"398336","65536","135106","913920","60264","2496","56925","0","34","39","34","6267","6267","0","1161","7514","2","401",-1,"0","18.0","3115921",,2019-03-27 02:41:33
128,"440419","162457","4","4429966","4438494",-1.0,"383488","65536","221030","913920","60264","2496","56931","0","34","39","34","6267","6267","0","1167","7545","2","401",-1,"0","25.0","3141423",,2019-03-27 02:42:03
129,"455279","74334","4","4460236","4468764",-1.0,"398336","65536","324001","913920","60264","2496","56943","0","34","39","34","6267","6267","0","1173","7663","2","401",-1,"0","30.0","3166901",,2019-03-27 02:42:33
130,"411765","224008","4","4490403","4498931",-1.0,"354816","65536","130807","913920","60264","2496","56949","0","34","39","34","6267","6267","0","1180","7696","2","401",-1,"0","24.0","3192535",,2019-03-27 02:43:03
131,"425572","122013","4","4520638","4529166",-1.0,"368640","65536","246626","913920","60264","2496","56932","0","34","39","34","6267","6267","0","1187","7788","2","401",-1,"0","28.0","3218174",,2019-03-27 02:43:34
132,"454756","337970","4","4550798","4559327",-1.0,"397824","65536","59853","913920","60264","2496","56932","0","34","39","34","6267","6267","0","1194","7836","2","401",-1,"0","22.0","3243828",,2019-03-27 02:44:04
